Fecha,Intervalo,Forecast Ordenes,Ordenes,% Desv Ordenes,Dif Ordenes,Cancelados,% SS Cancelados,Forecast % CR,Contact Rate,% Desv. CR,Forecast,Inflow,% Desvi. Inglow,Diff. Inflow,Cierres,Asignados,% Sla Forecast,% SLA,% Desv SLA,QFRT (Min) Forecast,#QFRT (Min),% Desv QFRT,RT (Min),AHT (min) Forecast,AHT (Min),TFRT (Total first response time),AWT (Tiempo Medio de Espera),CWD (Closing wait done),SAT (support assignation time),CWT (Close wainting time),% Muestras,% Survey_rate,% answer_rate,Csat_Gral,Enc.Enviadas Gral,Enc. Realizadas Comp,Enc. Positivas Comp,Enc. Negativo Comp,Enc. Neutros Comp,% Dsat comp,Enc. Contestadas Only comp,Enc. Dsat Only Comp,% Dsat Only Agent,Enc. Contestadas Partial comp,Enc. Dsat Partial comp,% Dsat Partial Automated,Enc. Contestadas full_automated comp,Enc. Dsat Full Automated Comp,% Dsat full Automated Comp,%_Auto_Controlados,Q Reopen Agent // Recontacto,#% Reopen CU // % Recontacto,Q Snoozed CU,% Snoozed CU,Q_Reopen,% Reopen,Dentro Sla,Fuera Sla,Sin FRT,%FRT_Vacio,Horas Requeridas,Horas Conexion,PD general,PD Agente,HC Requerido,- HC Real
2024-11-25 00:00:00,1899-12-30 05:00:00,381,218,"-42,84 %",-163,28,"12,84 %","1,03 %","15,14 %","14,11 %",31,33,"4,89 %",2,23,13,"90,63 %","96,97 %","6,34 %",76.83333333333331,0.6062085858585858,"-99,21 %",59.00395,7.072843217370651,7.165698989898989,0.569908585858586,0.03629999999999989,1.7154324561403511,45.03590583333333,1.7140350877192982,"30,30 %","100,00 %","30,30 %",1.8,33,10,2,8,,"80,00 %",2,2,"100,00 %",8,6,"75,00 %",,,,"0,00 %",10,"30,30 %",,,26,"78,79 %",32,1,0,"0,00 %",6.5263906644058505,20.967222216668002,"2,18",2.0019547713261145,13.052781328811701,35
2024-11-25 00:00:00,1899-12-30 05:30:00,490,366,"-25,36 %",-124,30,"8,20 %","0,84 %","10,11 %","9,27 %",33,37,"12,17 %",4,33,10,"90,63 %","89,19 %","-1,44 %",76.83333333333331,1.1852907407407407,"-98,46 %",29.429422972972965,7.072843217370651,7.7459245370370375,0.8535138888888888,0.3317768518518519,0.285594,26.58239629629629,0.28733333333333333,"37,84 %","97,30 %","38,89 %",2.5,36,14,5,9,,"64,29 %",4,3,"75,00 %",10,6,"60,00 %",,,,"0,00 %",5,"13,51 %",,,41,"110,81 %",33,4,1,"2,70 %",5.835486391520043,20.691388899996003,"2,65",2.2216888934609047,11.670972783040085,40
2024-11-25 00:00:00,1899-12-30 06:00:00,1035,850,"-17,89 %",-185,44,"5,18 %","0,77 %","5,41 %","4,64 %",64,46,"-28,14 %",-18,40,5,"90,63 %","83,72 %","-6,90 %",76.83333333333331,10.034923703703704,"-86,94 %",263.98122348484844,7.072843217370651,9.415332222222222,1.2179903703703705,8.816933333333333,49.34412682926829,126.97837357723574,49.34349593495934,"43,48 %","91,30 %","47,62 %",2.5,42,20,7,13,,"65,00 %",15,8,"53,33 %",5,5,"100,00 %",,,,"0,00 %",11,"23,91 %",5,"10,87 %",52,"113,04 %",36,10,1,"2,17 %",9.124373991331188,21.290833333332998,"2,93",2.9331884877058,18.248747982662376,47
2024-11-25 00:00:00,1899-12-30 06:30:00,1471,1348,"-8,37 %",-123,63,"4,67 %","0,70 %","4,82 %","4,12 %",83,65,"-21,40 %",-18,50,10,"90,63 %","95,31 %","4,69 %",76.83333333333331,2.976773697916666,"-96,13 %",344.9093328125,7.072843217370651,8.650972395833332,0.8365752604166665,2.1401984374999996,35.03955333333334,241.2410624242424,35.04030303030303,"46,15 %","96,92 %","47,62 %",2.8,63,30,13,16,1,"53,33 %",16,7,"43,75 %",14,9,"64,29 %",,,,"0,00 %",17,"26,15 %",1,"1,54 %",54,"83,08 %",61,4,1,"1,54 %",10.659576468558182,17.944166666667,"5,25",5.603930529158827,21.319152937116364,28
2024-11-25 00:00:00,1899-12-30 07:00:00,2506,2591,"3,38 %",85,83,"3,20 %","0,56 %","3,05 %","2,49 %",112,79,"-29,55 %",-33,59,12,"90,63 %","88,61 %","-2,02 %",213.15000000000006,10.079845512820516,"-95,27 %",294.1974068376068,7.072843217370651,6.098096367521367,1.3199019230769231,8.759943589743592,0.6957226368159205,268.8342169154229,0.695771144278607,"30,38 %","98,73 %","30,77 %",3,78,24,12,11,1,"45,83 %",7,4,"57,14 %",17,7,"41,18 %",,,,"0,00 %",8,"10,13 %",,,82,"103,80 %",70,9,1,"1,27 %",13.247593574519225,20.079444466665997,"5,63",6.190476182288057,26.49518714903845,30
2024-11-25 00:00:00,1899-12-30 07:30:00,3596,3814,"6,06 %",218,149,"3,91 %","0,46 %","2,88 %","2,42 %",133,110,"-17,18 %",-23,73,17,"90,63 %","53,27 %","-37,35 %",213.15000000000006,5.81725873015873,"-97,27 %",353.79020535168195,7.072843217370651,6.706267295597485,0.9180915873015872,4.899167142857142,0.7652750915750915,43.02509946236559,0.7666666666666667,"30,00 %","93,64 %","32,04 %",2.727272727272727,103,33,14,17,2,"51,52 %",17,7,"41,18 %",16,10,"62,50 %",,,,"0,00 %",21,"19,09 %",4,"3,64 %",66,"60,00 %",57,53,5,"4,55 %",15.10839436158774,17.162222233332997,"8,46",10.061118946872584,30.21678872317548,36
2024-11-25 00:00:00,1899-12-30 08:00:00,5394,5983,"10,92 %",589,226,"3,78 %","0,39 %","2,17 %","1,78 %",170,130,"-23,47 %",-40,117,11,"90,63 %","88,46 %","-2,16 %",213.15000000000006,6.478357364341085,"-96,96 %",315.20060322997415,8.697843217370652,7.414783333333333,4.491389632545931,1.9869677317951542,0.798676638176638,85.40830224089635,0.7922316384180791,"35,38 %","96,92 %","36,51 %",3.130434782608696,126,46,24,20,2,"43,48 %",20,10,"50,00 %",26,10,"38,46 %",,,,"0,00 %",17,"13,08 %",2,"1,54 %",80,"61,54 %",115,15,1,"0,77 %",20.536370719779374,39.243888883333994,"5,24",5.201779441094766,41.07274143955875,66
2024-11-25 00:00:00,1899-12-30 08:30:00,6810,7684,"12,83 %",874,290,"3,77 %","0,34 %","1,78 %","1,45 %",184,137,"-25,36 %",-47,132,16,"90,63 %","91,24 %","0,62 %",213.15000000000006,1.8691146766169155,"-99,12 %",153.91987156862749,8.697843217370652,7.081923703703703,0.9596997530864199,0.9094149235304957,0.7778238292011019,85.74621198347107,0.778374655647383,"27,74 %","95,62 %","29,01 %",2.473684210526316,131,38,14,23,1,"60,53 %",15,7,"46,67 %",23,16,"69,57 %",,,,"0,00 %",27,"19,71 %",1,"0,73 %",88,"64,23 %",125,12,3,"2,19 %",21.04415151105375,41.168611116666995,"5,78",5.27630007485037,42.0883030221075,70
2024-11-25 00:00:00,1899-12-30 09:00:00,8499,9376,"10,31 %",877,318,"3,39 %","0,34 %","1,85 %","1,51 %",229,173,"-24,47 %",-56,158,17,"90,63 %","84,97 %","-5,65 %",213.15000000000006,3.30046617647059,"-98,45 %",465.3709332358675,8.697843217370652,8.39464637254902,1.397077712031558,1.9033884644390318,2.937133986928105,132.83460352564106,2.937037037037037,"32,37 %","97,69 %","33,14 %",2.625,169,56,20,30,6,"53,57 %",29,13,"44,83 %",27,17,"62,96 %",,,,"0,00 %",27,"15,61 %",4,"2,31 %",88,"50,87 %",147,26,3,"1,73 %",24.315292098626227,47.272222199998,"5,87",5.702040433913528,48.63058419725245,82
2024-11-25 00:00:00,1899-12-30 09:30:00,9535,10187,"6,84 %",652,360,"3,53 %","0,33 %","1,87 %","1,54 %",249,190,"-23,59 %",-59,171,26,"90,63 %","86,84 %","-3,78 %",213.15000000000006,3.5441699275362324,"-98,34 %",141.72566922398585,8.697843217370652,8.081988799283154,1.0429537137681162,2.5012162137681164,0.8534907756813419,39.093508841463425,0.8531446540880503,"32,63 %","94,21 %","34,64 %",2.7096774193548385,179,62,20,31,11,"50,00 %",34,14,"41,18 %",28,17,"60,71 %",,,,"0,00 %",27,"14,21 %",9,"4,74 %",86,"45,26 %",165,25,6,"3,16 %",27.910832700616513,50.366111116664996,"6,13",5.760847000207837,55.82166540123303,86
